aqi_id,pollutant_code
1,PM10
2,CO
3,O3
4,PM10
5,PM2.5
6,SO2
7,PM10
8,PM10
9,PM10
10,PM10
11,PM10
12,PM2.5
12,PM10
13,PM10
14,PM10
15,PM10
16,PM10
17,PM2.5
18,PM10
19,O3
20,PM10
21,PM2.5
22,PM10
22,NO2
23,PM10
24,PM10
25,PM10
25,O3
26,PM10
27,CO
28,PM2.5
29,PM10
30,PM10
30,O3
31,O3
32,O3
32,PM2.5
32,PM10
33,PM10
34,PM2.5
34,PM10
35,PM10
35,O3
35,CO
36,PM10
37,PM2.5
38,PM10
39,PM10
40,CO
41,O3
42,PM10
43,CO
44,PM10
45,O3
46,PM10
47,PM2.5
48,PM10
49,O3
50,PM10
51,PM10
51,CO
52,PM10
53,PM10
54,PM10
55,PM10
56,PM10
57,PM10
58,PM2.5
59,PM10
60,PM10
60,O3
61,PM2.5
62,PM10
63,O3
64,PM10
65,PM2.5
65,PM10
66,O3
67,CO
68,PM10
69,PM10
70,PM10
71,PM2.5
71,PM10
72,CO
73,PM10
74,O3
75,PM2.5
75,O3
76,PM10
76,O3
77,O3
78,PM10
79,PM10
80,PM10
80,O3
81,PM2.5
81,PM10
82,PM10
83,PM10
84,PM10
84,SO2
85,O3
86,PM10
86,NO2
87,O3
88,PM10
89,PM10
90,PM10
91,O3
91,PM2.5
91,PM10
92,PM10
93,PM10
93,NO2
94,PM2.5
95,PM10
96,PM2.5
96,PM10
97,O3
98,PM10
99,O3
100,PM2.5
100,PM10
101,PM10
102,PM10
103,PM10
103,CO
104,PM10
105,PM2.5
105,CO
105,O3
106,PM10
107,PM10
108,PM2.5
109,PM10
110,PM10
111,CO
112,PM10
113,PM10
113,O3
114,PM10
115,PM2.5
115,O3
116,PM10
117,CO
118,PM10
119,PM10
119,O3
120,PM10
121,CO
122,PM10
123,CO
124,PM10
125,CO
126,PM10
127,NO2
128,PM10
129,PM10
130,PM10
131,PM10
132,PM10
133,NO2
134,PM10
135,O3
136,PM10
137,CO
138,SO2
139,O3
140,PM10
141,PM2.5
141,PM10
142,PM10
143,O3
