area_id,state_id,district_id,asd_id
1,1,1,1
2,2,2,2
3,3,3,3
4,4,4,4
5,5,5,5
6,6,6,6
7,7,7,7
8,8,8,8
9,9,9,9
10,5,10,10
11,10,11,11
12,11,12,12
13,12,13,13
14,13,14,14
15,1,15,15
16,13,16,16
17,14,17,17
18,13,18,18
19,14,19,19
20,1,15,20
21,12,13,21
22,4,20,22
23,13,21,23
24,2,22,24
25,3,23,25
26,2,24,26
27,2,25,27
28,10,26,28
29,15,27,29
30,16,28,30
31,15,29,31
32,16,30,32
33,3,31,33
34,16,32,34
35,13,33,35
36,15,34,36
37,14,35,37
38,1,15,38
39,1,15,39
40,9,36,40
41,15,37,41
42,15,38,42
43,2,39,43
44,15,40,44
45,9,41,45
46,15,42,46
47,17,43,47
48,14,17,48
49,9,44,49
50,17,45,50
51,1,46,51
52,11,12,52
53,10,47,53
54,15,48,54
55,9,49,55
56,15,50,56
57,10,51,57
58,15,52,58
59,2,53,59
60,16,54,60
61,15,55,61
62,10,56,62
63,15,57,63
64,18,58,64
65,11,59,65
66,15,60,66
67,4,4,67
68,2,61,68
69,3,62,69
70,13,63,70
71,14,64,71
72,13,65,72
73,10,66,73
74,13,67,74
75,15,68,75
76,16,69,76
77,1,70,77
78,16,71,78
79,10,72,79
80,19,73,80
81,13,74,81
82,15,75,82
83,15,76,83
84,16,77,84
85,15,78,85
86,4,79,86
87,15,80,87
88,16,81,88
89,2,82,89
90,16,69,90
91,5,83,91
92,15,84,92
93,8,85,93
94,1,86,94
95,1,87,95
96,20,88,96
97,21,89,97
98,16,90,98
99,15,91,99
100,10,92,100
101,1,93,101
102,1,94,102
103,8,95,103
104,16,96,104
105,2,97,105
106,8,98,106
107,3,99,107
108,5,100,108
109,7,101,109
110,17,102,110
111,2,103,111
112,13,104,112
113,1,105,113
114,16,90,114
115,22,106,115
116,8,107,116
117,9,44,117
118,23,108,118
89,1,82,119
119,10,109,120
120,2,110,121
121,1,15,122
122,2,103,123
123,17,111,124
124,13,112,125
125,13,113,126
126,10,114,127
127,13,115,128
128,1,116,129
129,15,117,130
130,16,118,131
131,10,11,132
132,24,119,133
133,14,120,134
134,15,121,135
135,16,122,136
136,10,123,137
137,11,124,138
138,25,125,139
139,15,126,140
140,8,127,141
141,14,128,142
142,13,129,143
143,16,130,144
144,16,131,145
145,1,15,146
146,9,132,147
147,2,133,148
148,1,134,149
149,1,135,150
150,13,136,151
151,2,137,152
152,14,138,153
153,1,139,154
154,17,102,155
155,26,140,156
156,15,141,157
157,15,142,158
158,15,143,159
159,13,144,160
160,3,145,161
161,16,146,162
162,13,147,163
163,3,148,164
164,1,135,165
165,2,149,166
166,15,150,167
167,5,151,168
168,12,152,169
169,14,153,170
170,13,154,171
171,2,155,172
172,15,156,173
173,2,157,174
174,1,158,175
175,1,159,176
176,13,104,177
177,15,160,178
178,1,15,179
179,3,161,180
180,9,162,181
181,15,163,182
182,3,164,183
183,9,49,184
184,13,165,185
185,1,166,186
186,16,167,187
187,16,168,188
188,15,169,189
189,2,170,190
190,13,171,191
191,1,172,192
192,1,173,193
193,4,174,194
194,7,175,195
195,5,176,196
196,1,46,197
197,27,177,198
198,13,178,199
199,10,179,200
200,3,180,201
201,2,181,202
202,28,182,203
203,1,183,204
204,16,184,205
205,15,185,206
206,25,125,207
207,1,159,208
208,1,15,209
209,9,186,210
210,29,187,211
211,9,188,212
212,1,189,213
213,3,190,214
214,13,191,215
215,10,192,216
216,10,193,217
217,2,194,218
218,11,195,219
219,3,196,220
220,8,127,221
221,2,197,222
222,9,198,223
223,7,199,224
224,9,49,225
225,15,200,226
226,11,201,227
227,2,202,228
228,3,203,229
229,9,186,230
230,13,204,231
231,30,205,232
232,10,206,233
233,9,162,234
234,10,207,235
235,4,208,236
236,10,209,237
237,2,210,238
238,7,211,239
239,4,4,240
240,15,212,241
241,17,213,242
242,4,4,243
243,10,214,244
244,13,215,245
245,9,49,246
246,3,216,247
247,10,217,248
248,17,218,249
249,3,219,250
250,17,220,251
251,13,221,252
252,31,222,253
253,10,223,254
254,2,202,255
255,11,224,256
256,25,225,257
257,25,226,258
258,10,227,259
259,10,228,260
260,10,229,261
261,10,230,262
262,10,231,263
263,10,232,264
264,25,233,265
265,25,234,266
266,24,119,267
267,25,235,268
268,25,225,269
269,25,236,270
270,25,237,271
271,25,238,272
272,25,239,273
273,25,125,274
274,25,240,275
275,25,241,276
276,25,242,277
277,25,243,278
278,25,244,279
279,25,245,280
280,25,246,281
281,25,247,282
282,25,248,283
283,25,249,284
284,25,250,285
285,25,251,286
286,24,119,287
287,7,175,288
288,32,252,289
289,7,253,290
290,2,254,291
291,7,175,292
