area_id,area,state_id
1,Amravati,1
2,Purnia,2
3,Katni,3
4,Tumidih,4
5,Byrnihat,5
6,Imphal,6
7,Kollam,7
8,Barrackpore,8
9,Nayagarh,9
10,Nalbari,5
11,Hubballi,10
12,Ahmedabad,11
13,Dehradun,12
14,Vellore,13
15,Ulhasnagar,1
16,Chengalpattu,13
17,Tirupati,14
18,Dindigul,13
19,Kadapa,14
20,Thane,1
21,Rishikesh,12
22,Raipur,4
23,Ranipet,13
24,Samastipur,2
25,Jabalpur,3
26,Kishanganj,2
27,Saharsa,2
28,Yadgir,10
29,Dungarpur,15
30,Meerut,16
31,Sawai Madhopur,15
32,Ghaziabad,16
33,Pithampur,3
34,Kanpur,16
35,Chennai,13
36,Nagaur,15
37,Chittoor,14
38,Kalyan,1
39,Mira Bhayandar,1
40,Bhubaneswar,9
41,Churu,15
42,Jodhpur,15
43,Katihar,2
44,Pali,15
45,Balasore,9
46,Sikar,15
47,Jalandhar,17
48,Tirumala,14
49,Angul,9
50,Patiala,17
51,Pimpri Chinchwad,1
52,Vatva,11
53,Chamarajanagar,10
54,Jaisalmer,15
55,Keonjhar,9
56,Chittorgarh,15
57,Chikkaballapur,10
58,Bhilwara,15
59,Arrah,2
60,Agra,16
61,Kota,15
62,Chikkamagaluru,10
63,Bharatpur,15
64,Aizawl,18
65,Gandhi Nagar,11
66,Dausa,15
67,Kunjemura,4
68,Motihari,2
69,Ujjain,3
70,Salem,13
71,Vijayawada,14
72,Thoothukudi,13
73,Davanagere,10
74,Coimbatore,13
75,Bhiwadi,15
76,NOIDA,16
77,Parbhani,1
78,Vrindavan,16
79,Bagalkot,10
80,Chandigarh,19
81,Cuddalore,13
82,Barmer,15
83,Tonk,15
84,Bareilly,16
85,Baran,15
86,Korba,4
87,Rajsamand,15
88,Firozabad,16
89,Aurangabad,2
90,Greater Noida,16
91,Guwahati,5
92,Pratapgarh,15
93,Kolkata,8
94,Jalna,1
95,Dhule,1
96,Hyderabad,20
97,Puducherry,21
98,Khurja,16
99,Bundi,15
100,Bengaluru,10
101,Latur,1
102,Solapur,1
103,Howrah,8
104,Jhansi,16
105,Muzaffarpur,2
106,Siliguri,8
107,Ratlam,3
108,Silchar,5
109,Thrissur,7
110,Ludhiana,17
111,Bettiah,2
112,Thanjavur,13
113,Nagpur,1
114,Bulandshahr,16
115,Shillong,22
116,Haldia,8
117,Talcher,9
118,Baddi,23
119,Aurangabad,1
120,Kalaburagi,10
121,Araria,2
122,Belapur,1
123,Manguraha,2
124,Bathinda,17
125,Ramanathapuram,13
126,Namakkal,13
127,Madikeri,10
128,Tiruppur,13
129,Akola,1
130,Udaipur,15
131,Hapur,16
132,Dharwad,10
133,Dhanbad,24
134,Rajamahendravaram,14
135,Jhunjhunu,15
136,Baghpat,16
137,Belgaum,10
138,Surat,11
139,Gurugram,25
140,Sirohi,15
141,Asansol,8
142,Visakhapatnam,14
143,Nagapattinam,13
144,Prayagraj,16
145,Gorakhpur,16
146,Bhiwandi,1
147,Byasanagar,9
148,Begusarai,2
149,Mumbai,1
150,Boisar,1
151,Hosur,13
152,Siwan,2
153,Anantapur,14
154,Kolhapur,1
155,Khanna,17
156,Naharlagun,26
157,Jalore,15
158,Dholpur,15
159,Bikaner,15
160,Madurai,13
161,Indore,3
162,Muzaffarnagar,16
163,Kanchipuram,13
164,Sagar,3
165,Virar,1
166,Hajipur,2
167,Jaipur,15
168,Nagaon,5
169,Kashipur,12
170,Amaravati,14
171,Pudukottai,13
172,Munger,2
173,Karauli,15
174,Buxar,2
175,Chandrapur,1
176,Malegaon,1
177,Palkalaiperur,13
178,Sri Ganganagar,15
179,Navi Mumbai,1
180,Bhopal,3
181,Rourkela,9
182,Jhalawar,15
183,Gwalior,3
184,Suakati,9
185,Tirunelveli,13
186,Ahmednagar,1
187,Moradabad,16
188,Lucknow,16
189,Ajmer,15
190,Gaya,2
191,Gummidipoondi,13
192,Mahad,1
193,Jalgaon,1
194,Bhilai,4
195,Eloor,7
196,Sivasagar,5
197,Pune,1
198,Kohima,27
199,Ariyalur,13
200,Shivamogga,10
201,Dewas,3
202,Bhagalpur,2
203,Agartala,28
204,Nanded,1
205,Varanasi,16
206,Banswara,15
207,Panchgaon,25
208,Nashik,1
209,Badlapur,1
210,Baripada,9
211,Delhi,29
212,Cuttack,9
213,Sangli,1
214,Damoh,3
215,Ooty,13
216,Ramanagara,10
217,Koppal,10
218,Sasaram,2
219,Ankleshwar,11
220,Singrauli,3
221,Durgapur,8
222,Patna,2
223,Brajrajnagar,9
224,Thiruvananthapuram,7
225,Barbil,9
226,Alwar,15
227,Vapi,11
228,Rajgir,2
229,Mandideep,3
230,Rairangpur,9
231,Tiruchirappalli,13
232,Sri Vijaya Puram,30
233,Bidar,10
234,Tensa,9
235,Mysuru,10
236,Bilaspur,4
237,Haveri,10
238,Chhapra,2
239,Kannur,7
240,Chhal,4
241,Hanumangarh,15
242,Mandi Gobindgarh,17
243,Milupara,4
244,Gadag,10
245,Virudhunagar,13
246,Bileipada,9
247,Maihar,3
248,Mangalore,10
249,Amritsar,17
250,Satna,3
251,Rupnagar,17
252,Karur,13
253,Gangtok,31
254,Tumakuru,10
255,Bihar Sharif,2
256,Nandesari,11
257,Faridabad,25
258,Charkhi Dadri,25
259,Karwar,10
260,Hassan,10
261,Kolar,10
262,Udupi,10
263,Raichur,10
264,Vijayapura,10
265,Panchkula,25
266,Rohtak,25
267,Jorapokhar,24
268,Palwal,25
269,Ballabgarh,25
270,Yamunanagar,25
271,Kaithal,25
272,Ambala,25
273,Sonipat,25
274,Manesar,25
275,Karnal,25
276,Fatehabad,25
277,Kurukshetra,25
278,Mandikhera,25
279,Sirsa,25
280,Panipat,25
281,Bhiwani,25
282,Dharuhera,25
283,Jind,25
284,Bahadurgarh,25
285,Hisar,25
286,Narnaul,25
287,Pathardih,24
288,Kochi,7
289,Srinagar,32
290,Kozhikode,7
291,Darbhanga,2
292,Ernakulam,7
