vehicle_id,class,vehicle,fuel,CO2,CO,NOX,PM,HC,notes
1,Bus,BUS,DIESEL,708.27,1.06,7.64,0.01,0.1,"Real-world data for BS-VI Diesel Bus.[1, 2, 3]"
2,Bus,BUS,CNG ONLY,632.57,9.22,15.16,0.023,7.8,"Based on BS-III data for HCV CNG Bus.[4, 5]"
3,Bus,BUS,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
4,Bus,BUS,PETROL,750,4,0.46,0.01,0.16,"Estimated based on BS-VI HDV Positive Ignition (PI) limits (g/kWh converted).[6, 7, 8]"
5,Bus,BUS,FUEL CELL HYDROGEN,0,0,0,0,0,Zero tailpipe emissions.
6,Bus,BUS,PETROL/CNG,650,8.5,14,0.02,7,"Estimated based on CNG values, with slight adjustment for bi-fuel system."
7,Bus,BUS,PETROL/HYBRID,600,3.2,0.37,0.008,0.13,Estimated as 20% reduction from Petrol Bus values due to hybrid powertrain.
8,Bus,BUS,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
9,Bus,OMNI BUS,DIESEL,708.27,1.06,7.64,0.01,0.1,"Same as BUS, real-world data for BS-VI Diesel Bus.[1, 2, 3]"
10,Bus,OMNI BUS,CNG ONLY,632.57,9.22,15.16,0.023,7.8,"Same as BUS, based on BS-III data for HCV CNG Bus.[4, 5]"
11,Bus,OMNI BUS,PETROL,750,4,0.46,0.01,0.16,"Same as BUS, estimated from BS-VI HDV PI limits.[6, 7, 8]"
12,Bus,OMNI BUS,PETROL/ETHANOL,735,3.2,0.46,0.01,0.13,"Estimated ~20% CO/HC reduction from Petrol Bus due to ethanol blend.[9, 10, 11, 12, 13]"
13,Bus,OMNI BUS,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
14,Bus,OMNI BUS (PRIVATE USE),CNG ONLY,632.57,9.22,15.16,0.023,7.8,"Assumed same as OMNI BUS CNG.[4, 5]"
15,Bus,OMNI BUS (PRIVATE USE),DIESEL,708.27,1.06,7.64,0.01,0.1,"Assumed same as OMNI BUS DIESEL.[1, 2, 3]"
16,Bus,OMNI BUS (PRIVATE USE),PETROL,750,4,0.46,0.01,0.16,"Assumed same as OMNI BUS PETROL.[6, 7, 8]"
17,Bus,OMNI BUS (PRIVATE USE),PETROL/ETHANOL,735,3.2,0.46,0.01,0.13,"Assumed same as OMNI BUS PETROL/ETHANOL.[9, 10, 11, 12, 13]"
18,Bus,OMNI BUS (PRIVATE USE),PETROL/HYBRID,600,3.2,0.37,0.008,0.13,Estimated as 20% reduction from Petrol Bus values.
19,Bus,OMNI BUS (PRIVATE USE),DIESEL/HYBRID,566.6,0.85,6.11,0.008,0.08,Estimated as 20% reduction from Diesel Bus values.
20,Bus,OMNI BUS (PRIVATE USE),NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
21,Bus,OMNI BUS (PRIVATE USE),PETROL/CNG,650,8.5,14,0.02,7,Assumed same as BUS PETROL/CNG.
