state,state_id
Maharashtra,1
Bihar,2
Madhya Pradesh,3
Chhattisgarh,4
Assam,5
Manipur,6
Kerala,7
West Bengal,8
Odisha,9
Karnataka,10
Gujarat,11
Uttarakhand,12
Tamil Nadu,13
Andhra Pradesh,14
Rajasthan,15
Uttar Pradesh,16
Punjab,17
Mizoram,18
Chandigarh,19
Telangana,20
Puducherry,21
Meghalaya,22
Himachal Pradesh,23
Jharkhand,24
Haryana,25
Arunachal Pradesh,26
Nagaland,27
Tripura,28
Delhi,29
Andaman and Nicobar Islands,30
Sikkim,31
Jammu and Kashmir,32
Goa,33
Dadra and Nagar Haveli and Daman and Diu,34
Ladakh,35
Lakshadweep,36
All India,37
