year,month,state_id,gender_id,value,pp_id
2036,October,8,3,43964,1
2036,October,8,1,22615,2
2036,October,8,2,21349,3
2036,October,12,3,5506,4
2036,October,12,1,2922,5
2036,October,12,2,2583,6
2036,October,16,3,67511,7
2036,October,16,1,35645,8
2036,October,16,2,31866,9
2036,October,28,3,2499,10
2036,October,28,1,1266,11
2036,October,28,2,1232,12
2036,October,20,3,22817,13
2036,October,20,1,11483,14
2036,October,20,2,11334,15
2036,October,13,3,46767,16
2036,October,13,1,23383,17
2036,October,13,2,23383,18
2036,October,31,3,576,19
2036,October,31,1,301,20
2036,October,31,2,275,21
2036,October,15,3,25950,22
2036,October,15,1,13558,23
2036,October,15,2,12392,24
2036,October,17,3,15329,25
2036,October,17,1,8175,26
2036,October,17,2,7153,27
2036,October,21,3,1588,28
2036,October,21,1,778,29
2036,October,21,2,810,30
2036,October,9,3,10508,31
2036,October,9,1,5439,32
2036,October,9,2,5069,33
2036,October,27,3,1606,34
2036,October,27,1,842,35
2036,October,27,2,764,36
2036,October,18,3,796,37
2036,October,18,1,398,38
2036,October,18,2,397,39
2036,October,22,3,788,40
2036,October,22,1,394,41
2036,October,22,2,394,42
2036,October,6,3,1284,43
2036,October,6,1,634,44
2036,October,6,2,650,45
2036,October,1,3,71643,46
2036,October,1,1,37647,47
2036,October,1,2,33996,48
2036,October,3,3,29923,49
2036,October,3,1,15601,50
2036,October,3,2,14322,51
2036,October,36,3,71,52
2036,October,36,1,37,53
2036,October,36,2,34,54
2036,October,35,3,131,55
2036,October,35,1,86,56
2036,October,35,2,45,57
2036,October,7,3,35903,58
2036,October,7,1,17170,59
2036,October,7,2,18733,60
2036,October,10,3,36794,61
2036,October,10,1,18744,62
2036,October,10,2,18050,63
2036,October,24,3,12924,64
2036,October,24,1,6766,65
2036,October,24,2,6157,66
2036,October,32,3,5043,67
2036,October,32,1,2730,68
2036,October,32,2,2312,69
2036,October,23,3,829,70
2036,October,23,1,447,71
2036,October,23,2,382,72
2036,October,25,3,17294,73
2036,October,25,1,9233,74
2036,October,25,2,8061,75
2036,October,11,3,45154,76
2036,October,11,1,24018,77
2036,October,11,2,21136,78
2036,October,33,3,1478,79
2036,October,33,1,756,80
2036,October,33,2,722,81
2036,October,29,3,26829,82
2036,October,29,1,14362,83
2036,October,29,2,12467,84
2036,October,34,3,2052,85
2036,October,34,1,1748,86
2036,October,34,2,305,87
2036,October,34,3,1428,88
2036,October,34,1,849,89
2036,October,34,2,579,90
2036,October,4,3,10773,91
2036,October,4,1,5507,92
2036,October,4,2,5265,93
2036,October,19,3,1365,94
2036,October,19,1,749,95
2036,October,19,2,616,96
2036,October,2,3,19923,97
2036,October,2,1,10513,98
2036,October,2,2,9409,99
2036,October,5,3,6815,100
2036,October,5,1,3502,101
2036,October,5,2,3313,102
2036,October,26,3,495,103
2036,October,26,1,262,104
2036,October,26,2,233,105
2036,October,14,3,24486,106
2036,October,14,1,12323,107
2036,October,14,2,12163,108
2036,October,30,3,214,109
2036,October,30,1,114,110
2036,October,30,2,100,111
2036,October,37,3,599048,112
2036,October,37,1,310997,113
2036,October,37,2,288051,114
2036,March,8,3,43658,115
2036,March,8,1,22458,116
2036,March,8,2,21200,117
2036,March,12,3,5449,118
2036,March,12,1,2892,119
2036,March,12,2,2557,120
2036,March,16,3,67081,121
2036,March,16,1,35418,122
2036,March,16,2,31663,123
2036,March,28,3,2460,124
2036,March,28,1,1247,125
2036,March,28,2,1213,126
2036,March,20,3,22733,127
2036,March,20,1,11441,128
2036,March,20,2,11292,129
2036,March,13,3,46554,130
2036,March,13,1,23277,131
2036,March,13,2,23277,132
2036,March,31,3,566,133
2036,March,31,1,296,134
2036,March,31,2,270,135
2036,March,15,3,25765,136
2036,March,15,1,13461,137
2036,March,15,2,12304,138
2036,March,17,3,15227,139
2036,March,17,1,8121,140
2036,March,17,2,7106,141
2036,March,21,3,1568,142
2036,March,21,1,768,143
2036,March,21,2,800,144
2036,March,9,3,10434,145
2036,March,9,1,5401,146
2036,March,9,2,5033,147
2036,March,27,3,1581,148
2036,March,27,1,829,149
2036,March,27,2,752,150
2036,March,18,3,791,151
2036,March,18,1,396,152
2036,March,18,2,395,153
2036,March,22,3,784,154
2036,March,22,1,392,155
2036,March,22,2,392,156
2036,March,6,3,1274,157
2036,March,6,1,629,158
2036,March,6,2,645,159
2036,March,1,3,71225,160
2036,March,1,1,37428,161
2036,March,1,2,33797,162
2036,March,3,3,29730,163
2036,March,3,1,15501,164
2036,March,3,2,14229,165
2036,March,36,3,71,166
2036,March,36,1,37,167
2036,March,36,2,34,168
2036,March,35,3,129,169
2036,March,35,1,85,170
2036,March,35,2,44,171
2036,March,7,3,35630,172
2036,March,7,1,17040,173
2036,March,7,2,18590,174
2036,March,10,3,36511,175
2036,March,10,1,18600,176
2036,March,10,2,17911,177
2036,March,24,3,12816,178
2036,March,24,1,6710,179
2036,March,24,2,6106,180
2036,March,32,3,5005,181
2036,March,32,1,2710,182
2036,March,32,2,2295,183
2036,March,23,3,827,184
2036,March,23,1,446,185
2036,March,23,2,381,186
2036,March,25,3,17094,187
2036,March,25,1,9127,188
2036,March,25,2,7967,189
2036,March,11,3,44717,190
2036,March,11,1,23786,191
2036,March,11,2,20931,192
2036,March,33,3,1467,193
2036,March,33,1,750,194
2036,March,33,2,717,195
2036,March,29,3,26591,196
2036,March,29,1,14235,197
2036,March,29,2,12356,198
2036,March,34,3,1955,199
2036,March,34,1,1659,200
2036,March,34,2,296,201
2036,March,34,3,1374,202
2036,March,34,1,817,203
2036,March,34,2,557,204
2036,March,4,3,10660,205
2036,March,4,1,5450,206
2036,March,4,2,5210,207
2036,March,19,3,1360,208
2036,March,19,1,746,209
2036,March,19,2,614,210
2036,March,2,3,19741,211
2036,March,2,1,10417,212
2036,March,2,2,9324,213
2036,March,5,3,6762,214
2036,March,5,1,3475,215
2036,March,5,2,3287,216
2036,March,26,3,491,217
2036,March,26,1,260,218
2036,March,26,2,231,219
2036,March,14,3,24272,220
2036,March,14,1,12215,221
2036,March,14,2,12057,222
2036,March,30,3,213,223
2036,March,30,1,114,224
2036,March,30,2,99,225
2036,March,37,3,594566,226
2036,March,37,1,308634,227
2036,March,37,2,285932,228
2036,July,8,3,43831,229
2036,July,8,1,22547,230
2036,July,8,2,21284,231
2036,July,12,3,5481,232
2036,July,12,1,2909,233
2036,July,12,2,2572,234
2036,July,16,3,67324,235
2036,July,16,1,35546,236
2036,July,16,2,31778,237
2036,July,28,3,2482,238
2036,July,28,1,1258,239
2036,July,28,2,1224,240
2036,July,20,3,22733,241
2036,July,20,1,11441,242
2036,July,20,2,11292,243
2036,July,13,3,46675,244
2036,July,13,1,23337,245
2036,July,13,2,23337,246
2036,July,31,3,572,247
2036,July,31,1,299,248
2036,July,31,2,273,249
2036,July,15,3,25870,250
2036,July,15,1,13516,251
2036,July,15,2,12354,252
2036,July,17,3,15284,253
2036,July,17,1,8152,254
2036,July,17,2,7133,255
2036,July,21,3,1579,256
2036,July,21,1,773,257
2036,July,21,2,806,258
2036,July,9,3,10476,259
2036,July,9,1,5422,260
2036,July,9,2,5054,261
2036,July,27,3,1595,262
2036,July,27,1,836,263
2036,July,27,2,759,264
2036,July,18,3,794,265
2036,July,18,1,397,266
2036,July,18,2,397,267
2036,July,22,3,787,268
2036,July,22,1,393,269
2036,July,22,2,394,270
2036,July,6,3,1280,271
2036,July,6,1,632,272
2036,July,6,2,648,273
2036,July,1,3,71462,274
2036,July,1,1,37552,275
2036,July,1,2,33910,276
2036,July,3,3,29840,277
2036,July,3,1,15558,278
2036,July,3,2,14282,279
2036,July,36,3,71,280
2036,July,36,1,37,281
2036,July,36,2,34,282
2036,July,35,3,130,283
2036,July,35,1,85,284
2036,July,35,2,45,285
2036,July,7,3,35803,286
2036,July,7,1,17123,287
2036,July,7,2,18681,288
2036,July,10,3,36671,289
2036,July,10,1,18681,290
2036,July,10,2,17990,291
2036,July,24,3,12877,292
2036,July,24,1,6742,293
2036,July,24,2,6135,294
2036,July,32,3,5026,295
2036,July,32,1,2721,296
2036,July,32,2,2305,297
2036,July,23,3,829,298
2036,July,23,1,447,299
2036,July,23,2,381,300
2036,July,25,3,17207,301
2036,July,25,1,9187,302
2036,July,25,2,8020,303
2036,July,11,3,44964,304
2036,July,11,1,23917,305
2036,July,11,2,21047,306
2036,July,33,3,1473,307
2036,July,33,1,753,308
2036,July,33,2,720,309
2036,July,29,3,26727,310
2036,July,29,1,14308,311
2036,July,29,2,12419,312
2036,July,34,3,2011,313
2036,July,34,1,1710,314
2036,July,34,2,301,315
2036,July,34,3,1404,316
2036,July,34,1,835,317
2036,July,34,2,569,318
2036,July,4,3,10723,319
2036,July,4,1,5482,320
2036,July,4,2,5241,321
2036,July,19,3,1362,322
